PC1,PC2,Cluster,Age
-1.3066864278934271,0.10392470830257318,3,65-74
0.9509565514782473,-0.09266069225361959,1,65-74
-0.7769976791965965,0.656061765185123,0,75 or older
2.736323524136821,-0.36477380143952287,2,55-64
-0.4115828086283002,0.9560970167159161,0,55-64
3.936093431264362,4.228342118905188,2,65-74
-0.5792355414864809,-0.48615621872414216,3,55-64
1.1139743519560263,-0.34529542622031667,1,65-74
0.5562706585755656,1.1320662162846702,0,65-74
-0.9567574883582141,0.5723347442624847,0,65-74
0.2706939347221927,0.6645885981037356,0,75 or older
1.7378893308359906,-1.5640823662163927,1,65-74
2.2407005626646983,0.08879556606292739,2,65-74
-0.5476790974229905,2.5331264640243174,0,65-74
1.8631392937958084,-0.6606560159813881,1,65-74
-1.3666918717938663,1.2229657157005263,0,65-74
4.6838630613583225,7.120176250038838,2,45-54
2.5633147573436728,-1.0853039465652143,2,55-64
0.9539237233918413,0.26016200977346277,1,55-64
0.11673537252537272,-0.17780372128262265,1,75 or older
2.8098152294215333,-0.7260875520137022,2,
-1.3066864278934271,0.10392470830257318,3,65-74
-1.095541378261069,-0.4394852082960963,3,55-64
-0.41538737671943665,0.20922075716068644,3,45-54
-1.0321274917211543,3.5772457185782205,0,55-64
0.8096270824179617,-0.3105808632982253,1,75 or older
-1.0729157297356597,1.1016019178439131,0,75 or older
-1.1614150029273773,-0.0660028375030316,3,35-44
0.7964482471571516,2.8106538275452846,0,45-54
1.3243718422356179,-0.656093842170028,1,65-74
-0.09014769838436537,-0.8621387100690704,1,75 or older
-1.095541378261069,-0.4394852082960963,3,65-74
3.2872610343932784,0.44771691822638726,2,65-74
-0.9567574883582141,0.5723347442624847,0,65-74
-0.8332824405211483,-0.018694867163365828,3,65-74
0.9794131273768245,0.5913697481203739,1,55-64
0.8482810510160256,1.456210862105752,0,75 or older
-0.2066443713417826,3.2614153246848625,0,75 or older
0.11673537252537272,-0.17780372128262265,1,
2.049590065142424,-0.4734236104627685,2,65-74
2.1479418482665698,3.132412581536321,2,55-64
-1.636082218503421,1.0436138393254655,0,55-64
1.3332741020344343,-1.1438671396542663,1,65-74
0.6470632549570872,1.1459609800324275,0,
-0.9779825895221688,0.6796176444428722,0,65-74
-1.636082218503421,1.0436138393254655,0,65-74
-1.7845869355955777,0.995050091376474,0,65-74
-1.7845869355955777,0.995050091376474,0,35-44
1.197348490593639,-0.08098331859483024,1,45-54
1.1090204209946715,2.3978315463279922,0,35-44
4.601377706371,0.3629877101324505,2,65-74
0.2130398022336305,1.3358502175368705,0,65-74
0.8136380768932157,0.5458918021945998,1,
0.44441363566594455,3.9950253062187846,0,35-44
-1.3666918717938663,1.2229657157005263,0,35-44
